country,year,AG.LND.FRST.K2,AG.SRF.TOTL.K2,ER.PTD.TOTL.ZS,GB.XPD.RSDV.GD.ZS,GE.EST,IP.JRN.ARTC.SC,IT.NET.USER.ZS,NY.GDP.PCAP.CD,SE.PRM.ENRR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SP.POP.SCIE.RD.P6,SP.POP.TECH.RD.P6,countryCode,region,incomeLevel,occurrenceCount,occurrenceCount_publisher,gbif_member,ogp_membership
Angola,2007,738231.83,1246700.0,,0.37174333880344995,-1.20500719547272,10.16,1.7,3141.0459797605,104.233329772949,42.11529963357107,4.8854825869202605,17.02446651458739,2.712431481906346,124.23341751098636,53.655185,AO,Sub-Saharan Africa ,Lower middle income,27099.0,,No,No
Angola,2008,732681.22,1246700.0,,0.3591600110133493,-1.06138837337494,11.85,1.9,4103.0669003635,111.10994720459,22.3172206878662,5.835228800773619,15.567158742384471,3.020351832563227,213.35078430175793,72.892985,AO,Sub-Saharan Africa ,Lower middle income,27839.0,,No,No
Angola,2009,727130.61,1246700.0,,0.340476671854655,-0.945070207118988,13.78,2.3,3136.64546955947,110.201789855957,23.8500499725342,5.857567174094066,11.460000038147,2.92000007629395,214.3266029357911,69.455755,AO,Sub-Saharan Africa ,Lower middle income,44983.0,2194272.0,No,No
Angola,2010,721580.0,1246700.0,,0.2416620045900344,-1.13826775550842,14.68,2.8,3597.34293216332,111.87287902832,27.6820907592773,7.676605184872943,8.68476963043213,3.42131996154785,123.34043312072754,47.3784375,AO,Sub-Saharan Africa ,Lower middle income,61499.0,3104292.6666666665,No,No
Angola,2011,716029.38,1246700.0,,0.37909999862313254,-1.19323122501373,17.78,4.7,4615.91059831778,126.245147705078,27.9312000274658,6.3326301574707,8.96000003814697,3.24000000953674,48.4267692565918,35.4243,AO,Sub-Saharan Africa ,Lower middle income,101889.0,1158360.7142857143,No,No
Angola,2012,710478.76,1246700.0,,0.31203000495831196,-0.988945424556732,21.3,7.7,5086.02740086376,114.60126427239419,42.31967965129324,8.969254840504034,8.37043285369873,3.08191084861755,137.56144189834583,40.29222,AO,Sub-Saharan Africa ,Lower middle income,111342.0,1292507.857142857,No,No
Angola,2013,704928.14,1246700.0,8.9,0.663299977779388,-1.24288654327393,23.85,13.0,5057.74787833163,109.58480558905113,42.51442455863268,9.11637020111084,8.82697105407715,3.86999988555908,430.448486328125,128.6247,AO,Sub-Saharan Africa ,Lower middle income,169534.0,1289899.4285714286,No,No
Angola,2014,699377.52,1246700.0,5.0,0.3159199992660435,-1.05657386779785,34.57,21.4,5005.9997412707,114.80354342341366,49.369596984767696,12.344806194305418,7.13000011444092,2.9300000667572,204.45585886637377,72.28789666666667,AO,Sub-Saharan Africa ,Lower middle income,137709.0,1303126.2857142857,No,No
Angola,2015,693826.9,1246700.0,5.0,0.731469988822937,-0.929087340831757,32.12,22.0,3213.90261080059,119.14225769043,45.78480699965435,8.68379020690918,8.918776512146,3.09999990463257,250.76471138000477,74.61557,AO,Sub-Saharan Africa ,Lower middle income,157155.0,1654926.857142857,No,No
Angola,2016,688276.2,1246700.0,5.0,0.0322900004684925,-0.971493542194366,37.81,23.2,1807.95294072643,107.026964874435,53.5814514160156,9.66034030914307,6.55097389221191,2.75493669509888,18.9357891082764,5.20066,AO,Sub-Saharan Africa ,Lower middle income,178619.0,3003599.5714285714,No,No
Angola,2017,682725.7,1246700.0,5.0,0.3876600116491317,-0.951988995075226,55.13,26.0,2437.25971190821,122.235166180926,48.35764708801658,9.65568923950195,6.7637767791748,2.46687889099121,194.54961458841944,47.53837000000001,AO,Sub-Saharan Africa ,Lower middle income,189157.0,18551.0,No,No
Angola,2018,677175.1,1246700.0,5.0,0.30305665886650485,-1.00525164604187,29.7,29.0,2538.59139143371,88.5748689656161,48.98834534517705,9.35254287719727,5.77752447128296,2.18351292610168,150.672598361969,7.602390000000001,AO,Sub-Saharan Africa ,Lower middle income,218450.0,38638.0,No,No
Angola,2019,671624.4,1246700.0,5.0,0.613039970397949,-1.1284898519516,36.39,32.1,2189.85571407618,114.68995652061035,50.28361511357648,11.0613594055176,6.04535579681396,2.07306432723999,262.5810108184812,,AO,Sub-Saharan Africa ,Lower middle income,264629.0,76273.0,Sí,No
Angola,2020,666073.8,1246700.0,5.0,0.602400004863739,-1.25748455524445,48.51,36.6,1449.92286669308,110.98571617817876,52.34258733966118,12.702946853637695,5.2947359085083,2.6674473285675,252.04823112487804,,AO,Sub-Saharan Africa ,Lower middle income,275331.0,68249.0,Sí,No
Angola,2021,660523.133,1246700.0,5.0,0.615029990673065,-1.1263599395752,42.35,39.4,1925.87466082167,88.8339920043945,52.5437698364258,13.09971036911009,6.91961002349854,2.2971088886261,249.24233055114772,,AO,Sub-Saharan Africa ,Lower middle income,287558.0,72205.0,Sí,No
Angola,2022,654972.511,1246700.0,5.0,0.6318800151348115,-1.02603423595428,44.99,42.1,2929.69445467272,86.7067961582083,66.27115249633783,17.810972118377702,6.64047193527222,2.3321259021759,237.40066528320327,,AO,Sub-Saharan Africa ,Lower middle income,306891.0,74360.0,Sí,No
Andorra,2007,160.0,470.0,,1.4884263432838702,1.50177264213562,6.23,70.9,48336.2283329823,86.8720626831055,84.9232788085938,59.57103111630394,12.298770314171206,2.10469007492065,3640.964392089844,1159.3431044444449,AD,Europe & Central Asia,High income,13343.0,3408512.8571428573,No,No
Andorra,2008,160.0,470.0,,1.6216091286876937,1.52840650081635,1.68,70.0,49132.515707808,89.4464416503906,85.1802673339844,11.742130279541,11.874401773725237,2.87392997741699,3852.2130679175975,1188.7501570588236,AD,Europe & Central Asia,High income,15025.0,4277019.5,No,No
Andorra,2009,160.0,470.0,,1.667651816863905,1.53620111942291,2.55,78.5,43975.0183668093,90.2379989624023,86.7272262573242,59.20465710049584,11.81787527175175,3.14292001724243,3935.2077148437515,1227.007497777778,AD,Europe & Central Asia,High income,22818.0,4443628.157894737,No,No
Andorra,2010,160.0,470.0,,1.6112480979590196,1.51271617412567,1.2,81.0,42746.8309526019,90.1155624389648,89.9800491333008,59.38371593301947,11.799793470473523,2.97662997245789,3834.3852731805105,1172.952144375,AD,Europe & Central Asia,High income,12456.0,6293627.842105263,Sí,No
Andorra,2011,160.0,470.0,,1.7107191133228208,1.49892425537109,0.88,81.0,46657.1561173756,89.0909118652344,93.692268371582,62.64112231844948,12.472279028459031,2.98706007003784,4104.157019042968,1353.3204183333332,AD,Europe & Central Asia,High income,87676.0,75142.0,Sí,No
Andorra,2012,160.0,470.0,,1.7289290953088894,1.52334606647491,4.53,82.7,41500.5435791686,88.1348724365234,92.2807006835938,13.2810401916504,9.84161376953125,2.56577897071838,4064.3969757080085,1232.5963471428572,AD,Europe & Central Asia,High income,94614.0,81816.0,Sí,No
