country,year,superficie_total_km2,areas_protegidas,gasto_RD_pib,efectividad_gobierno,art_cientificos,uso_internet,pib_per_capita,inscripcion_primaria,inscripcion_secundaria,inscripcion_terciaria,gasto_educacion_gobierno,gasto_educacion_pib,investigadores_RD,countryCode,region,incomeLevel,occurrenceCount_publisher,gbif_member,ogp_membership
Andorra,2007,470.0,,0.40329773413934933,1.50177264213562,6.23,70.87,48336.2283329823,88.5400009155273,82.7160491943359,43.078033524519576,7.97098426351528,2.10469007492065,1290.980941662795,AD,1,0,0.0,0,0
Andorra,2008,470.0,,0.3282903171183713,1.52840650081635,1.68,70.04,49132.515707808,87.0373992919922,82.462532043457,11.0230503082275,10.43017898755146,2.87392997741699,1226.833066949942,AD,1,0,0.0,0,0
Andorra,2009,470.0,,0.8635121508410677,1.53620111942291,2.55,78.53,43975.0183668093,85.0247116088867,82.9412994384766,47.89784821347864,8.577875902863234,3.14292001724243,2253.526481482372,AD,1,0,0.0,0,0
Andorra,2010,470.0,,0.8562801764313352,1.51271617412567,1.2,81.0,42746.8309526019,84.9445571899414,85.4886322021484,49.05654563564472,8.16965519879911,2.97662997245789,2319.603836372724,AD,1,0,0.0,1,0
Andorra,2011,470.0,,0.868000218478113,1.49892425537109,0.88,81.0,46657.1561173756,86.2257308959961,86.196891784668,49.23237832926677,8.344995366119623,2.98706007003784,2356.531075824959,AD,1,0,75142.0,1,0
Andorra,2012,470.0,,0.3415383470002161,1.52334606647491,4.53,82.7,41500.5435791686,83.5187072753906,87.2305068969727,12.870249017038,9.84161391329076,2.56577895521486,1552.8813423506517,AD,1,0,81816.0,1,0
Andorra,2013,470.0,9.2,0.7856646657270476,1.53249549865723,5.26,84.4,42470.3161159692,85.0512237548828,86.7936096191406,14.5405405405405,6.19552993774414,2.50616002082825,2614.7133439703966,AD,1,0,81816.0,1,0
Andorra,2014,470.0,18.2,0.3194806024250805,1.71216595172882,4.18,86.1,44369.659691379,87.0263326910726,88.978157043457,13.5399673735726,13.3152103424072,3.07420992851257,1510.4650313688999,AD,1,0,81816.0,1,0
Andorra,2015,470.0,21.1,0.7810722442971625,1.74073541164398,7.96,87.9,38654.9347203095,88.5957446808511,91.2962188720703,13.8206896551724,10.4428100585938,3.28034996986389,2592.9892889605335,AD,1,0,81816.0,1,0
Andorra,2016,470.0,21.1,0.8794143280323488,1.80540561676025,7.83,89.7,40129.8192007698,91.0415773681955,94.6524124145508,15.2011095700416,9.99098014831543,3.23707008361816,2887.6806050845644,AD,1,0,110719.0,1,0
Andorra,2017,470.0,26.7,0.9442647828286057,1.87694644927979,1.67,91.5675,40672.9943348258,90.2031316123572,95.1090393066406,15.6664896441848,9.39243984222412,3.21708989143372,3070.3870834194213,AD,1,0,111790.0,1,0
Andorra,2018,470.0,26.7,0.015550994598740209,1.87921941280365,3.19,60.297294591283304,42819.7745797624,90.7088926174497,95.9804306030273,15.7132150886835,13.4619197845459,3.2467200756073,304.6865378568773,AD,1,0,111790.0,1,0
Andorra,2019,470.0,26.7,0.7280166533215884,1.85192060470581,5.41,90.7187,41257.8045846483,90.3239289446186,96.574333190918,15.4352596927579,10.8952398300171,3.15060997009277,2578.1350582523773,AD,1,0,113290.0,1,0
Andorra,2020,470.0,26.7,0.7120324162455622,1.7492413520813,8.14,93.2056,37361.0900666982,89.4271272114575,97.1500396728516,15.2605749006777,8.99186922593895,2.63213046553066,2682.909107927685,AD,1,0,114622.0,1,0
Andorra,2021,470.0,26.9,0.4697668223680871,1.74892807006836,9.44,93.8975,42425.6996756291,89.7379912663755,98.0404205322266,15.4117647058823,10.264735366383,2.381921736037,2190.603262760429,AD,1,0,115904.0,1,0
Andorra,2022,470.0,26.9,1.0462013600751456,1.49526071548462,9.6,94.4855,42414.0590092117,90.4656808651512,98.5098724365234,34.6414389161411,6.96128988265991,2.64727997779846,3322.409245546357,AD,1,0,118243.0,1,0
Argentina,2007,2780400.0,,0.46007,-0.0125325033441186,5682.94,25.9466,7185.25155147027,117.236312866211,92.1874084472656,66.6672210693359,15.1015701293945,4.46260023117065,971.29008,AR,2,3,3442.0,1,0
Argentina,2008,2780400.0,,0.47055,-0.123509347438812,6229.5,28.1126,8944.1102657357,118.320129394531,93.183219909668,68.5610733032227,15.7478399276733,4.84440994262695,1032.67483,AR,2,3,86381.0,1,0
Argentina,2009,2780400.0,,0.58398,-0.294032037258148,6819.11,34.0,8150.23527028221,118.293312072754,96.4056777954102,70.6931915283203,16.0206699371338,5.53105020523071,1031.64133,AR,2,3,173910.0,1,0
Argentina,2010,2780400.0,,0.56104,-0.1117919459939,7153.65,45.0,10260.1313108254,118.128196716309,99.0709991455078,73.803669361107,15.0479698181152,5.01971006393433,1119.05035,AR,2,3,254915.0,1,0
Argentina,2011,2780400.0,,0.56597,-0.0723610669374466,7625.07,51.0,12704.2831819684,117.372833251953,100.884559631348,77.0101185060955,15.1585597991943,5.29062986373901,1175.37229,AR,2,3,641647.0,1,0
Argentina,2012,2780400.0,,0.63491,-0.206967011094093,7803.52,55.8,12949.717486654,116.43643951416,102.709991455078,78.1465174294761,14.5182600021362,5.34582996368408,1197.6554,AR,2,3,707956.0,1,1
